Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv2d-1,32,32,3,3,3,96,1,
Conv2d-2,32,32,1,1,96,192,1,
Conv2d-3,32,32,3,3,192,48,1,
Conv2d-4,32,32,1,1,144,192,1,
Conv2d-5,32,32,3,3,192,48,1,
Conv2d-6,32,32,1,1,192,192,1,
Conv2d-7,32,32,3,3,192,48,1,
Conv2d-8,32,32,1,1,240,192,1,
Conv2d-9,32,32,3,3,192,48,1,
Conv2d-10,32,32,1,1,288,192,1,
Conv2d-11,32,32,3,3,192,48,1,
Conv2d-12,32,32,1,1,336,192,1,
Conv2d-13,32,32,3,3,192,48,1,
Conv2d-14,32,32,1,1,384,192,1,
Conv2d-15,16,16,1,1,192,192,1,
Conv2d-16,16,16,3,3,192,48,1,
Conv2d-17,16,16,1,1,240,192,1,
Conv2d-18,16,16,3,3,192,48,1,
Conv2d-19,16,16,1,1,288,192,1,
Conv2d-20,16,16,3,3,192,48,1,
Conv2d-21,16,16,1,1,336,192,1,
Conv2d-22,16,16,3,3,192,48,1,
Conv2d-23,16,16,1,1,384,192,1,
Conv2d-24,16,16,3,3,192,48,1,
Conv2d-25,16,16,1,1,432,192,1,
Conv2d-26,16,16,3,3,192,48,1,
Conv2d-27,16,16,1,1,480,192,1,
Conv2d-28,16,16,3,3,192,48,1,
Conv2d-29,16,16,1,1,528,192,1,
Conv2d-30,16,16,3,3,192,48,1,
Conv2d-31,16,16,1,1,576,192,1,
Conv2d-32,16,16,3,3,192,48,1,
Conv2d-33,16,16,1,1,624,192,1,
Conv2d-34,16,16,3,3,192,48,1,
Conv2d-35,16,16,1,1,672,192,1,
Conv2d-36,16,16,3,3,192,48,1,
Conv2d-37,16,16,1,1,720,192,1,
Conv2d-38,16,16,3,3,192,48,1,
Conv2d-39,16,16,1,1,768,384,1,
Conv2d-40,8,8,1,1,384,192,1,
Conv2d-41,8,8,3,3,192,48,1,
Conv2d-42,8,8,1,1,432,192,1,
Conv2d-43,8,8,3,3,192,48,1,
Conv2d-44,8,8,1,1,480,192,1,
Conv2d-45,8,8,3,3,192,48,1,
Conv2d-46,8,8,1,1,528,192,1,
Conv2d-47,8,8,3,3,192,48,1,
Conv2d-48,8,8,1,1,576,192,1,
Conv2d-49,8,8,3,3,192,48,1,
Conv2d-50,8,8,1,1,624,192,1,
Conv2d-51,8,8,3,3,192,48,1,
Conv2d-52,8,8,1,1,672,192,1,
Conv2d-53,8,8,3,3,192,48,1,
Conv2d-54,8,8,1,1,720,192,1,
Conv2d-55,8,8,3,3,192,48,1,
Conv2d-56,8,8,1,1,768,192,1,
Conv2d-57,8,8,3,3,192,48,1,
Conv2d-58,8,8,1,1,816,192,1,
Conv2d-59,8,8,3,3,192,48,1,
Conv2d-60,8,8,1,1,864,192,1,
Conv2d-61,8,8,3,3,192,48,1,
Conv2d-62,8,8,1,1,912,192,1,
Conv2d-63,8,8,3,3,192,48,1,
Conv2d-64,8,8,1,1,960,192,1,
Conv2d-65,8,8,3,3,192,48,1,
Conv2d-66,8,8,1,1,1008,192,1,
Conv2d-67,8,8,3,3,192,48,1,
Conv2d-68,8,8,1,1,1056,192,1,
Conv2d-69,8,8,3,3,192,48,1,
Conv2d-70,8,8,1,1,1104,192,1,
Conv2d-71,8,8,3,3,192,48,1,
Conv2d-72,8,8,1,1,1152,192,1,
Conv2d-73,8,8,3,3,192,48,1,
Conv2d-74,8,8,1,1,1200,192,1,
Conv2d-75,8,8,3,3,192,48,1,
Conv2d-76,8,8,1,1,1248,192,1,
Conv2d-77,8,8,3,3,192,48,1,
Conv2d-78,8,8,1,1,1296,192,1,
Conv2d-79,8,8,3,3,192,48,1,
Conv2d-80,8,8,1,1,1344,192,1,
Conv2d-81,8,8,3,3,192,48,1,
Conv2d-82,8,8,1,1,1392,192,1,
Conv2d-83,8,8,3,3,192,48,1,
Conv2d-84,8,8,1,1,1440,192,1,
Conv2d-85,8,8,3,3,192,48,1,
Conv2d-86,8,8,1,1,1488,192,1,
Conv2d-87,8,8,3,3,192,48,1,
Conv2d-88,8,8,1,1,1536,192,1,
Conv2d-89,8,8,3,3,192,48,1,
Conv2d-90,8,8,1,1,1584,192,1,
Conv2d-91,8,8,3,3,192,48,1,
Conv2d-92,8,8,1,1,1632,192,1,
Conv2d-93,8,8,3,3,192,48,1,
Conv2d-94,8,8,1,1,1680,192,1,
Conv2d-95,8,8,3,3,192,48,1,
Conv2d-96,8,8,1,1,1728,192,1,
Conv2d-97,8,8,3,3,192,48,1,
Conv2d-98,8,8,1,1,1776,192,1,
Conv2d-99,8,8,3,3,192,48,1,
Conv2d-100,8,8,1,1,1824,192,1,
Conv2d-101,8,8,3,3,192,48,1,
Conv2d-102,8,8,1,1,1872,192,1,
Conv2d-103,8,8,3,3,192,48,1,
Conv2d-104,8,8,1,1,1920,192,1,
Conv2d-105,8,8,3,3,192,48,1,
Conv2d-106,8,8,1,1,1968,192,1,
Conv2d-107,8,8,3,3,192,48,1,
Conv2d-108,8,8,1,1,2016,192,1,
Conv2d-109,8,8,3,3,192,48,1,
Conv2d-110,8,8,1,1,2064,192,1,
Conv2d-111,8,8,3,3,192,48,1,
Conv2d-112,8,8,1,1,2112,1056,1,
Conv2d-113,4,4,1,1,1056,192,1,
Conv2d-114,4,4,3,3,192,48,1,
Conv2d-115,4,4,1,1,1104,192,1,
Conv2d-116,4,4,3,3,192,48,1,
Conv2d-117,4,4,1,1,1152,192,1,
Conv2d-118,4,4,3,3,192,48,1,
Conv2d-119,4,4,1,1,1200,192,1,
Conv2d-120,4,4,3,3,192,48,1,
Conv2d-121,4,4,1,1,1248,192,1,
Conv2d-122,4,4,3,3,192,48,1,
Conv2d-123,4,4,1,1,1296,192,1,
Conv2d-124,4,4,3,3,192,48,1,
Conv2d-125,4,4,1,1,1344,192,1,
Conv2d-126,4,4,3,3,192,48,1,
Conv2d-127,4,4,1,1,1392,192,1,
Conv2d-128,4,4,3,3,192,48,1,
Conv2d-129,4,4,1,1,1440,192,1,
Conv2d-130,4,4,3,3,192,48,1,
Conv2d-131,4,4,1,1,1488,192,1,
Conv2d-132,4,4,3,3,192,48,1,
Conv2d-133,4,4,1,1,1536,192,1,
Conv2d-134,4,4,3,3,192,48,1,
Conv2d-135,4,4,1,1,1584,192,1,
Conv2d-136,4,4,3,3,192,48,1,
Conv2d-137,4,4,1,1,1632,192,1,
Conv2d-138,4,4,3,3,192,48,1,
Conv2d-139,4,4,1,1,1680,192,1,
Conv2d-140,4,4,3,3,192,48,1,
Conv2d-141,4,4,1,1,1728,192,1,
Conv2d-142,4,4,3,3,192,48,1,
Conv2d-143,4,4,1,1,1776,192,1,
Conv2d-144,4,4,3,3,192,48,1,
Conv2d-145,4,4,1,1,1824,192,1,
Conv2d-146,4,4,3,3,192,48,1,
Conv2d-147,4,4,1,1,1872,192,1,
Conv2d-148,4,4,3,3,192,48,1,
Conv2d-149,4,4,1,1,1920,192,1,
Conv2d-150,4,4,3,3,192,48,1,
Conv2d-151,4,4,1,1,1968,192,1,
Conv2d-152,4,4,3,3,192,48,1,
Conv2d-153,4,4,1,1,2016,192,1,
Conv2d-154,4,4,3,3,192,48,1,
Conv2d-155,4,4,1,1,2064,192,1,
Conv2d-156,4,4,3,3,192,48,1,
Conv2d-157,4,4,1,1,2112,192,1,
Conv2d-158,4,4,3,3,192,48,1,
Conv2d-159,4,4,1,1,2160,192,1,
Conv2d-160,4,4,3,3,192,48,1,
Linear-161,1,1,1,1,2208,10,1,
