Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv2d-71,8,8,1,1,1024,256,1,
Conv2d-72,8,8,3,3,256,256,1,
Conv2d-73,8,8,1,1,256,1024,1,
Conv2d-74,8,8,1,1,1024,256,1,
Conv2d-75,8,8,3,3,256,256,1,
Conv2d-76,8,8,1,1,256,1024,1,
Conv2d-77,8,8,1,1,1024,256,1,
Conv2d-78,8,8,3,3,256,256,1,
Conv2d-79,8,8,1,1,256,1024,1,
Conv2d-80,8,8,1,1,1024,256,1,
Conv2d-81,8,8,3,3,256,256,1,
Conv2d-82,8,8,1,1,256,1024,1,
Conv2d-83,8,8,1,1,1024,256,1,
Conv2d-84,8,8,3,3,256,256,1,
Conv2d-85,8,8,1,1,256,1024,1,
Conv2d-86,8,8,1,1,1024,256,1,
Conv2d-87,8,8,3,3,256,256,1,
Conv2d-88,8,8,1,1,256,1024,1,
Conv2d-89,8,8,1,1,1024,256,1,
Conv2d-90,8,8,3,3,256,256,1,
Conv2d-91,8,8,1,1,256,1024,1,
Conv2d-92,8,8,1,1,1024,256,1,
Conv2d-93,8,8,3,3,256,256,1,
Conv2d-94,8,8,1,1,256,1024,1,
Conv2d-95,8,8,1,1,1024,256,1,
Conv2d-96,8,8,3,3,256,256,1,
Conv2d-97,8,8,1,1,256,1024,1,
Conv2d-98,8,8,1,1,1024,256,1,
Conv2d-99,8,8,3,3,256,256,1,
Conv2d-100,8,8,1,1,256,1024,1,
Conv2d-101,8,8,1,1,1024,256,1,
Conv2d-102,8,8,3,3,256,256,1,
Conv2d-103,8,8,1,1,256,1024,1,
Conv2d-104,8,8,1,1,1024,256,1,
Conv2d-105,8,8,3,3,256,256,1,
Conv2d-106,8,8,1,1,256,1024,1,
Conv2d-107,8,8,1,1,1024,256,1,
Conv2d-108,8,8,3,3,256,256,1,
Conv2d-109,8,8,1,1,256,1024,1,
Conv2d-110,8,8,1,1,1024,256,1,
Conv2d-111,8,8,3,3,256,256,1,
Conv2d-112,8,8,1,1,256,1024,1,
Conv2d-113,8,8,1,1,1024,256,1,
Conv2d-114,8,8,3,3,256,256,1,
Conv2d-115,8,8,1,1,256,1024,1,
Conv2d-116,8,8,1,1,1024,256,1,
Conv2d-117,8,8,3,3,256,256,1,
Conv2d-118,8,8,1,1,256,1024,1,
Conv2d-119,8,8,1,1,1024,256,1,
Conv2d-120,8,8,3,3,256,256,1,
Conv2d-121,8,8,1,1,256,1024,1,
Conv2d-122,8,8,1,1,1024,256,1,
Conv2d-123,8,8,3,3,256,256,1,
Conv2d-124,8,8,1,1,256,1024,1,
Conv2d-125,8,8,1,1,1024,256,1,
Conv2d-126,8,8,3,3,256,256,1,
Conv2d-127,8,8,1,1,256,1024,1,
Conv2d-128,8,8,1,1,1024,256,1,
Conv2d-129,8,8,3,3,256,256,1,
Conv2d-130,8,8,1,1,256,1024,1,
Conv2d-131,8,8,1,1,1024,256,1,
Conv2d-132,8,8,3,3,256,256,1,
Conv2d-133,8,8,1,1,256,1024,1,
Conv2d-134,8,8,1,1,1024,256,1,
Conv2d-135,8,8,3,3,256,256,1,
Conv2d-136,8,8,1,1,256,1024,1,
Conv2d-137,8,8,1,1,1024,256,1,
Conv2d-138,8,8,3,3,256,256,1,
Conv2d-139,8,8,1,1,256,1024,1,
Conv2d-140,8,8,1,1,1024,256,1,
Conv2d-141,8,8,3,3,256,256,1,
Conv2d-142,8,8,1,1,256,1024,1,
Conv2d-143,8,8,1,1,1024,256,1,
Conv2d-144,8,8,3,3,256,256,1,
Conv2d-145,8,8,1,1,256,1024,1,
Conv2d-146,8,8,1,1,1024,512,1,
Conv2d-147,8,8,3,3,512,512,2,
Conv2d-148,4,4,1,1,512,2048,1,
Conv2d-149,8,8,1,1,1024,2048,2,
Conv2d-150,4,4,1,1,2048,512,1,
Conv2d-151,4,4,3,3,512,512,1,
Conv2d-152,4,4,1,1,512,2048,1,
Conv2d-153,4,4,1,1,2048,512,1,
Conv2d-154,4,4,3,3,512,512,1,
Conv2d-155,4,4,1,1,512,2048,1,
Linear-156,1,1,1,1,2048,10,1,
